id,name,league_id,logo,slug,sofifa_url,tactics_video_url,faces_video_url,founded_year,stadium,capacity,city,nickname,members
111,Independiente del Valle,12,img/equipos/Independiente del Valle.png,independiente-del-valle,,,,1977,Estadio Banco Guayaquil,12.000,Sangolquí,Negriazules,Desconocido
28,Independiente Rivadavia,1,img/equipos/Independiente Rivadavia.png,independiente-rivadavia,https://sofifa.com/squad/2213530,,,1913,Bautista Gargantini,24.000,Mendoza,Lepra Mendocina,15.000
14,Instituto,1,img/equipos/Instituto Atletico Central Cordoba.png,instituto,https://sofifa.com/squad/2212768,,,1918,Juan Domingo Perón,32.000,Córdoba,Gloria,40.000
52,Inter,4,img/equipos/FC Internazionale.png,inter,https://sofifa.com/squad/2232787,,,1908,Giuseppe Meazza,80.018,Milán,I Nerazzurri,Desconocido
102,Inter Miami,9,img/equipos/Inter de Miami CF.png,inter-miami,https://sofifa.com/squad/2223594,,,2018,Chase Stadium,21.550,Fort Lauderdale,The Herons,Desconocido
90,Internacional,7,img/equipos/Internacional.png,internacional,https://sofifa.com/squad/2305887,,,1909,Estádio Beira-Rio,50.128,Porto Alegre,Colorado,150.000
109,Junior,11,img/equipos/Junior.png,junior,,,,1924,Estadio Metropolitano Roberto Meléndez,49.612,Barranquilla,Tiburones,Desconocido
91,Juventude,7,img/equipos/Juventude.png,juventude,https://sofifa.com/squad/2305883,,,1913,Alfredo Jaconi,19.919,Caxias do Sul,Papo,Desconocido
53,Juventus,4,img/equipos/Juventus FC.png,juventus,https://sofifa.com/squad/2233382,,,1897,Allianz Stadium,41.507,Turín,La Vecchia Signora,Desconocido
15,Lanús,1,img/equipos/CA Lanus.png,lanus,https://sofifa.com/squad/2211922,,,1915,Ciudad de Lanús,47.027,Buenos Aires,Granate,38.450
112,LDU Quito,12,img/equipos/LDU Quito.png,ldu-quito,,,,1930,Estadio Rodrigo Paz Delgado,41.500,Quito,Albos,Desconocido
41,Leeds United,2,img/equipos/Leeds United.png,leeds-united,https://sofifa.com/squad/2271811,,,1919,Elland Road,37.890,Leeds,Whites,Desconocido
67,Levante,5,img/equipos/Levante U.D..png,levante-ud,https://sofifa.com/squad/2305689,,,1909,Estadio Ciudad de Valencia,26.354,Valencia,Granotas,Desconocido
114,Libertad,13,img/equipos/Libertad.png,libertad,,,,1905,Estadio Tigo La Huerta,10.000,Asunción,Gumarelo,Desconocido
42,Liverpool,2,img/equipos/Liverpool.png,liverpool,https://sofifa.com/squad/2218262,,,1892,Anfield,61.276,Liverpool,Reds,Desconocido
119,Liverpool FC,15,img/equipos/Liverpool FC Uruguay.png,liverpool-uru,,,,1915,Estadio Belvedere,10.000,Montevideo,Negriazules,Desconocido
68,Mallorca,5,img/equipos/R.C.D. Mallorca.png,rcd-mallorca,https://sofifa.com/squad/2305712,,,1916,Estadi Mallorca Son Moix,25.000,Palma,Bermellones,Desconocido
